NUMERO RNA,NOM,OBJET,DATE DE RECONNAISSANCE D'UTILITE PUBLIQUE,DATE DE DERNIERE MODIFICATION STATUTAIRE,"ADRESSE
SIEGE SOCIAL",CP,VILLE
W302000493,"ASSOCIATION DE L' ORPHELINAT
DE COURBESSAC",Secourir les orphelins qui lui sont confiés.,26/03/1957,,,30000,NIMES
,ASSOCIATION DE LA MAISON DE RETRAITE PROTESTANTE DETHEL,Recevoir des femmes âgées valides ou convalescentes.,30/12/1897,15/02/1968,48 rue Professeur Depéret,69160,TASSIN-LA-DEMI-LUNE
,ASSOCIATION DE LA MAISON DES INCURABLES – OEUVRE DU CALVAIRE,Donner soins matériels et aide morale aux cancéreuses et personnes atteintes de maladies incurables. On s'interroge sur l'opportunité d'être RUP pour gérer un centre de soins.,04/03/1963,,"61, rue Franklin",42000,SAINT-ETIENNE
,ASSOCIATION DE LA REGIE THEATRALE,Resserrer les liens de bonne confraternité et de solidarité entre tous les régisseurs de théâtres,14/03/1924,23/12/1976,"2-, rue pavée",75004,PARIS
W313006581,ASSOCIATION DE L'INSTITUT CATHOLIQUE DE TOULOUSE,"Assurer l’organisation et le développement de la mission de l’enseignement supérieur, soit la formation initiale et continue, la recherche et sa volorisation, la diffusion de la culture et de l’information, la coopération internationale au sein des Facultés, Instituts, Ecoles, Centres d’études qui composent l’Institut catholique et Toulouse.",22/11/2001,26/06/2017,"31, rue de la Fonderie BP 7012",31068,TOULOUSE CEDEX 7
W133005708,ASSOCIATION DE PATRONAGE DE L' INSTITUT REGIONAL DES JEUNES SOURDS ET DES JEUNES AVEUGLES DE MARSEILLE,"Promouvoir et  faciliter l'instruction intellectuelle et professionnelle, l'éducation et le patronage des jeunes sourds et des jeunes aveugles du Sud-Est de la France.",22/04/1931,12/07/1990,"8, montée de l'Oratoire",13007,MARSEILLE
,"ASSOCIATION DE PATRONAGE
DE L' INSTITUTION REGIONALE DE JEUNES SOURDS D'ORLEANS","Assurer, promouvoir et faciliter l'instruction,  l'éducation et le patronage des sourds-muets de France.",12/08/1952,29/11/1977,"26, rue Abbé de l'épée",45140,ST JEAN DE LA RUELLE
,ASSOCIATION DE PREVENTION ET ETUDES DES MALADIES MOLECULAIRES,Entreprendre toutes études et recherches concernant la base biochimique moléculaire des maladies.,08/12/1966,,"24, rue Faubourg Saint-Jacques",75012,PARIS
,ASSOCIATION DE PREVOYANCE DU NOTARIAT EN FRANCE,"Venir en aide aux notaires, anciens notaires dans le besoin ainsi qu'à leurs femmes, veuves, enfants ou descendants.",23/05/1870,25/09/1980,"60, bd de la Tour Maubourd",75007,PARIS
W343019070,"ASSOCIATION DE PROPAGANDE
POUR LE VIN",Développer par la propagande la consommation du vin.,05/07/1930,,"173, avenue maréchal Foch",34500,BEZIERS
,ASSOCIATION DE SANTE MENTALE DU 13EME ARRONDISSEMENT DE PARIS (ASM13),"Coordination des activités de toutes les personnes ou organismes publics ou privés visant à la préservation de la santé mentale  en concourant à la lutte contre les maladies et les déficiences mentales, l'alcoolisme au  bénéfice de la population du 13e.",31/07/1970,04/02/1998,"11, rue Albert-Bayet",75013,PARIS
W302005622,ASSOCIATION DE SECOURS AUX VICTIMES DES MALADIES TROPICALES (A.S.V.M.T.),"Venir en aide et soigner physiquement, matériellement et moralement les victimes de maladies physiques ou mentales.",14/05/1949,04/01/1977,Chartreuse de Valbonne,30130,SAINT-PAULET-DE-CAISSON
,ASSOCIATION DE VALLOIRES,"Lutter contre la tuberculose par la création de préventoriums, colonies de vacances.",10/06/1925,21/09/1966,Abbaye de Valloires,80000,RUE
,ASSOCIATION D'ENSEIGNEMENT TECHNIQUE SUPERIEUR DE L' ECOLE SUPERIEURE D'ELECTRONIQUE DE L'OUEST (AETS-ESEO),Gestion d'un établissement d'enseignement technique supérieur privé.,10/01/1980,19/02/2018,"10, boulevard Jeanneteau
CS 90717",49107,ANGERS CEDEX2
W9M1000240,ASSOCIATION DEPARTEMENTALE D' AIDE AUX RETRAITES ET PERSONNES AGEES (ADARPA),"Porter aux personnes du 3ème âge l'aide matérielle (ménage, courses, repas, etc...) et le soutien moral qui leur sont nécessaires ; Former le personnel en contact avec ces personnes ; Répandre et favoriser l’information nécessaire au 3ème âge ; organiser les loisirs (ateliers d’animation, activités culturelles) ; Créer et gérer toute œuvre et services sociaux en faveur des personnes âgées ; d’une manière générale, entreprendre toute action visant à l’amélioration des conditions de vie du 3ème âge ; Faire bénéficier à toute personne des mêmes dispositions dans le cadre de convention avec les personnes morales.",12/12/1979,16/06/2014,"Cité artisanale de Dillon
Morne Calebasse
CS 91005",97247,FORT-DE-FRANCE CEDEX
W362004017,ASSOCIATION DEPARTEMENTALE DE L'INDRE POUR L' ACCUEIL ET SAUVEGARDE DE L'ENFANCE DE L'ADOLESCENCE ET DES ADULTES (ADIASEAA),"Réaliser à la demande des Magistrats de l’Aide Sociale à l’Enfance, ou en vertu de toute mesure administrative l’accueil, la prise en charge, l’aide et le soutien d’enfants, ou de jeunes majeurs en difficultés familiales et sociales et d’en assurer le suivi dans une perspective d’autonomie et de réinsertion ; Sauvegarder et promouvoir les possibilités d’accès à l’autonomie à la dignité et à la solidarité pour toute personne en difficultés.",10/09/1857,03/06/2004,"8, rue de Robinson",36130,DEOLS
,ASSOCIATION DEPARTEMENTALE DE SAUVEGARDE DE L'ENFANCE ET DE L'ADOLESCENCE EN SEINE ET MARNE (ADSEA77),"Sauvegarde de l'enfance et de la jeunesse, coordination des associations qui poursuivent le même but dans le cadre du plan d'équipement régional.",29/11/1971,28/07/1992,"2 bis, rue Saint-Louis",77160,MELUN
,ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L'ENSEIGNEMENT PUBLIC DE LA SOMME AD PEP80,"L’Association agit pour la défense et la promotion des valeurs des Pupilles de l’Enseignement Public : la laïcité et la solidarité. Dans ce but, elle favorise et complète l'action de l'Enseignement Public. Elle contribue à l'éducation et à la formation des enfants, des jeunes et des adultes.",04/01/1971,09/05/2016,"256, rue Saint-Honoré
CS 88813",80088,AMIENS CEDEX 2
W032003041,ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L'ENSEIGNEMENT PUBLIC DE L'ALLIER,"Apporter une aide aux pupilles de la nation, aux orphelins, aux enfants appartenant à des familles d'au moins cinq enfants.",29/11/1958,25/07/2001,"Château de Bellevue
BP 92",03400,YZEURE
W133003533,ASSOCIATION DEPARTEMENTALE POUR LA PROTECTION DES NOURRISSONS DE L'ENFANCE ET DE LA FAMILLE,"Protection de l’enfance et de la famille, en particulier des nourrissons et de la mère de famille, par tous les moyens propres à améliorer leur sort.",26/05/1875,07/11/1969,"26, rue Dragon",13006,MARSEILLE
W423008412,"ASSOCIATION DEPARTEMENTALE
DES AMIS ET PARENTS
DE PERSONNES DEFICIENTES
INTELLECTUELLES DE LA LOIRE (ADAPEI)","Informer l'opinion, les pouvoirs publics pour obtenir moyens de réaliser éducation et  développement complet enfants atteints  déficience ou  inadaptation physique, morale ou intellectuelle ne  permettant pas l'existence normale d'enfants de leur âge",18/06/1964,11/01/2010,"11-13, rue Grangeneuve
BP 60",42002,SAINT-ETIENNE CEDEX 01
,"ASSOCIATION DEPARTEMENTALE
DES PUPILLES DE L'ENSEIGNEMENT PUBLIC
DES PYRENEES-ATLANTIQUE DITE ""LesPEP64""","Eduquer au civisme et à la responsabilité ; Former, à travers les enfants et les adultes hommes responsables, des travailleurs conscients de leurs droits et de leurs devoirs, des citoyens avisés et solidaires ; Promouvoir une conception globale de l’éducation ; Aider à insérer dans la société par l’éducation et tous les moyens y concourant tous les jeunes et adultes en difficulté ; Affirmer, vivre et réaliser la complémentarité des PEP et du service public et laîque d’éducation et de formatio ; Veiller à la prédominance des administrateurs, responsables politiques de l’association ; Associer les personnels de l’Education Nationale à l’élaboration et à la conduite des projets PEP et rechercher l’implication des adhérents, des jeunes, des parents, des usagers, des salariés et de tout autre citoyen attaché aux valeurs laïqes ; Rechercher dans toute action la qualité en évaluant et en mesurant les résultats ; Inscrire nos actions et notre engagement social dans une démarche européenne sans aucun renoncement à notre éthique.",14/12/1956,27/07/2017,"5, rue de l'enfant Jésus
BP 1502",64015,PAU CEDEX
W052000564,ASSOCIATION DES  AMIS DE L'ABBAYE DE BOSCODON,Restauration et réhabilitation de l'abbaye et de ses dépendances en vue de la rendre à sa destination première; promotion au sein de l'abbaye et de son site de toutes activités culturelles et éducatives.,23/03/1990,26/10/2000,Abbaye de Boscodon,05200,CROTS
,ASSOCIATION DES A.E DU LYCEE CORNEILLE DE ROUEN,"Resserrer les liens d'amitié formés au lycée, maintenir des relations de camaraderie entre les générations qui se succèdent sur les mêmes bases.",18/05/1876,29/07/1933,"4, rue du Maulévrier",76000,ROUEN
W281005614,ASSOCIATION DES A.E.  DES  LYCEES  DE MARCEAU ET HELENE BOUCHER DE CHARTRES,"Etablir entre les anciens élèves internes ou externes des deux lycées u centre de relations amicales, et de venir en aide aux anciens camarades, à leurs veuves et à leurs enfants ; Venir en aide aux fonctionnaires ou anciens fonctionnaires inscrits au nom de ses membres, à leurs veuves et à leurs enfants ; Exercer sur les élèves, dans le Lycée et à la sortie du Lycée, un patronage efficace, et favoriser leurs déuts dans la carrière qu’ils auront embrassée ; Participer en y associant les lycéens à la défense et au développement de la francophonie et de la culture française ; Proposer des chambres en foyers d’étudiants aux élèves qui commencent des études supérieures.",23/05/1873,29/04/2004,"2, rue Pierre Mendès France",28000,CHARTRES
W381017255,ASSOCIATION DES A.E. DE L' ECOLE   ET DES LYCEES VAUCANSON,Perpétuer entre ses membres les relations amicales résultant d'une commune éducation et d'établir entre eux des liens de mutuel appui.,25/02/1915,16/01/1981,"27, rue Anatole france",38100,GRENOBLE
,ASSOCIATION DES A.E. DE L' ECOLE DE FONDERIE ET DE FORGE,Maintenir l'esprit de camaraderie qui les a unis à l'école.,13/12/1958,07/05/2009,"44, avenue de la Division Leclerc",92310,SEVRES
,ASSOCIATION DES A.E. DE L' ECOLE DE L'AIR,Contribuer à maintenir et à améliorer la place de l'école dans le pays et dans l'armée.,29/10/1968,"06/10/2014
","3, rue Nationale",92100,BOULOGNE-BILLANCOURT
W174002730,ASSOCIATION DES A.E. DE L' ECOLE D'ENSEIGNEMENT TECHNIQUE DE L'ARMEE DE L'AIR (A.E.TA.),Maintenir et développer entre ses membres les liens de camaraderie et de solidarité qui se sont créés à l'école ou en unités.,20/11/1972,,A.E.T.A. - E.E.T.A.A. 722,17136,SAINTES-AIR
,ASSOCIATION DES A.E. DE L' ECOLE NATIONALE SUPERIEURE DE CHIMIE DE PARIS (ENSCP),"Continuer les relations d'amitié commencées à l'école, de favoriser entre tous ses membres les rapports scientifiques commerciaux",23/03/1925,12/01/1977,"11, rue Pierre et Marie Curie",75005,PARIS
,ASSOCIATION DES A.E. DE L' ECOLE SUP DES SCIENCES ECONOMIQUES ET COMMERCIALES (ESSEC),Entretenir entre les anciens élèves les relations amicales nouées au cours des études.,19/05/1969,04/06/2003,"70, rue Cortambert",75008,PARIS
,ASSOCIATION DES A.E. DES LYCEES D'ETAT DE L'AGGLOMERATION LYONNAISE,Conserver et au besoin renouveler ou établir des relations amicales entre les anciens élèves du lycée considérés comme membre d'une même famille.,01/07/1878,12/06/1980,"13, quai Jean-Moulin",69002,LYON
W212004002,ASSOCIATION DES A.E. DESCOLLEGE ET LYCEE DESIRE NISARD ET DU COLLEGE FONTAINE DES DUCS,Maintenir les liens amicaux entre les anciens élèves ; Soutenir financièrement un projet présenté en alternance par le Collège et par le Lycée ; Aider éventuellement les camarades ou leur famille en difficulté.,19/07/1893,28/05/2009,"Lycée Désiré Nisard, 19 rue de Seine,",21400,CHATILLON-SUR-SEINE
W382005251,ASSOCIATION DES A.E. DU COLLEGE DE BOURGOIN,Perpétuer des relations amicales entre les anciens du collège.,14/02/1901,,9 r de la Paix,38300,BOURGOIN-JALLIEU
,ASSOCIATION DES A.E. DU COLLEGE ET DU LYCEE HENRI WALLON,Etablir entre eux un centre commun de bonnes relations.,09/03/1894,,Lycée Henri-Wallon,59300,VALENCIENNES
,ASSOCIATION DES A.E. DU LYCEE A. RIBOT,"Venir en aide, au point de vue de leur instruction, aux enfants ou petits enfants des personnes faisant partie ou ayant fait partie de l'association.",17/07/1891,21/08/2007,"42, rue Gambetta",62500,SAINT-OMER
,ASSOCIATION DES A.E. DU LYCEE BLAISE PASCAL,Etablir entre tous les AE un centre commun de relations amicales; venir en aide aux camarades malheureux à leurs veuves ou à leurs enfants.,14/08/1878,10/02/1916,36 avenue Carnot,63037,CLERMONT-FERRAND CEDEX
W212008209,ASSOCIATION DES A.E. DU LYCEE CARNOT DE DIJON,"Etablir, renouveler et conserver des relations d’amitié entre toutes les générations d’anciens élèves et personnels du lycée CARNOT de DIJON ; Conserver la mémoire des anciens élèves et personnels du lycée ; Oeuvrer à la notoriété du lycée ; Développer le partenariat entre le lycée, les acteurs économiques, l’Union Européenne, l’État et les collectivités locales, départementales et régionales, propre à favoriser l’information, l’orientation ou l’insertion des élèves du lycée : de manière générale, organiser toute manifestation permettant de réaliser l’objet de l’Association. De venir en aide aux adhérents en difficulté matérielle ou morale. D’assurer le lien entre les différentes générations (Anciens et élèves actuels du Lycée) en apportant des aides ponctuelles propres à améliorer les conditions d’études ou de vie des élèves (bourse d’étude ou de voyage, à des élèves méritants du Lycée, proposés par le proviseur ou le conseil d’administration du Lycée, participation à l’acquisition de matériel utile à l’activité du foyer socioculturel du lycée et Collège CARNOT…) ; de participer à l’entretien, dans la cour d’honneur du lycée, du monument à la mémoire des anciens élèves et personnels morts pour la Patrie ; monument qu’elle a fait ériger en 1920.",06/01/1869,21/06/2012,16 boulevard Thiers,21000,DIJON
W381017254,ASSOCIATION DES A.E. DU LYCEE CHAMPOLLION,"Conserver et, au besoin, renouveler et établir des relations amicales entre les anciens élèves du lycée.",12/04/1877,19/12/1926,Cours Lafontaine,38000,GRENOBLE
,ASSOCIATION DES A.E. DU LYCEE DE COUTANCES,"PAS DE STATUTS Le maintien de la RUP ne se justifie plus, son activité relevant plus du domaine ordinaire des associations d'anciens élèves.",02/07/1880,,"6, rue Louis Beuve",50200,COUTANCES
,ASSOCIATION DES A.E. DU LYCEE DE DOUAI,Établir entre les anciens élèves de cet établissement un centre de relations amicales.,12/05/1875,,Lycée de DOUAI,59500,DOUAI
,ASSOCIATION DES A.E. DU LYCEE FAIDHERBE DE LILLE,"Venir en aide aux élèves du lycée qui après s'être distingués dans leur classe, n'auraient pas de ressources suffisantes pour poursuivre et terminer leurs études dans les grands établissements de l'Etat.",15/02/1889,,"9 rue Armand Carrel
BP 767",59133,PHALEMPIN
,ASSOCIATION DES A.E. DU LYCEE FRANCOIS 1ER DU HAVRE,"Entretenir les relations d'amitié qui se sont formées au lycée, venir en aide à ceux des membres de l'association qui auraient besoin de secours.",05/03/1870,09/03/1998,"2, rue Jean-Paul Sartre
BP 1283",76600,LE HAVRE CEDEX
,ASSOCIATION DES A.E. DU LYCEE LA BRUYERE,Créer pour ses adhérentes un centre commun de relations amicales et venir en aide aux compagnes dignes d'intérêt.,07/07/1939,18/07/1972,,78220,VERSAILLES
W251003071,ASSOCIATION DES A.E. ET A.E. DULYCEE PASTEUR,"Maintenir et resserrer les liens qu'une commune éducation a créés entre ces élèves, leur permettre de se soutenir moralement et matériellement, de s’instruire et de se récréer en commun et de s’unir pour certaines œuvres de bienfaisance.",29/07/1925,10/09/1982,Lycée pasteur,25000,BESANÇON
,ASSOCIATION DES A.E. ET DES AMIS DE L' ECOLE D'ALFORT,"S'intéresse à la fois au développement matériel et scientifique de l'école, à la vie scolaire de ses étudiants et à tout ce qui peut augmenter son prestige dans le monde.",28/07/1931,30/08/1962,"7, Grande rue",94700,MAISON-ALFORT
,ASSOCIATION DES A.E. ET DES ELEVES DE L' ENSET ET DE L'ENS DE CACHAN,"Contribuer activement au développement et à la défense des Sections Normales, de l’École dans l'acceptation la plus large, de l'esprit technologique dans toutes les disciplines scientifiques et générales enseignées dans les établissements publics.",11/07/2003,15/04/2014,"61, avenue du Président Wilson
Bât. Cournot",94235,CACHAN CEDEX
,ASSOCIATION DES A.E. ET ETUDIANTS DU GROUPE ESCP-EUROPE,Créer et entretenir entre tous les anciens élèves de ladite école des relations d'amitié contractées à l'école et de les développer entre tous les anciens élèves.,02/03/1903,01/12/2010,"79, avenue de la République",75011,PARIS
,ASSOCIATION DES A.E. ET FONCTIONNAIRES DU COLLEGE DE BETHUNE,"Entretenir et au besoin renouveler ou établir des relations d'amitié entre les anciens élèves, les anciens fonctionnaires et les fonctionnaires du Collège ; venir en aide aux camarades que frapperaient les infortunes imméritées, à leurs veuves et à leurs enfants ; exercer un patronage efficace sur les élèves qui, à la sortie du Collège auraient besoin d'un appui ; créer des bourses ou des fractions de bourses au profit d'enfants sans fortune, fils ou petits-fils de condisciples ; décerner des prix ou des bourses de séjour à l'étranger aux élèves qui se sont distingués par leur conduite, leur travail et leurs succès.",30/12/1931,,2 rue de l'Université,62400,BETHUNE
,"ASSOCIATION DES A.E.
DE L' ECOLE ALSACIENNE","Établir un centre commun de relations amicales entre ses membres, venir en aide aux anciens élèves ayant besoin d'assistance, faire œuvre de bienfaisance envers des enfants pauvres méritants.",25/07/1929,22/10/1971,"109, rue Notre-Dame-des-Champs",75006,PARIS
,"ASSOCIATION DES A.E.
DE L' ECOLE SUPERIEURE
D'INTERPRETES ET DE TRADUCTEURS
DE L'UNIVERSITE DE PARIS III","Établir entre ses membres des relations amicales notamment en assurant la liaison entre les promotions successives, utiliser les rapports ainsi créés aussi bien dans l'intérêt général que dans l'intérêt de ses membres.",09/06/1972,02/07/1997,Centre universitaire Dauphine,75006,PARIS
,"ASSOCIATION DES A.E.
DE L' INSTITUT SUPERIEUR
DE L'AERONAUTIQUE ET DE L'ESPACE
(ISAE-SUPAERO-ENSICA)",Constituer une société amicale professionnelle entre les anciens élèves diplômés de l'école supérieure d'aéronautique et de construction mécanique.,22/03/1922,15/10/1999,"35, rue Le Marois",75116,PARIS
,"ASSOCIATION DES A.E.
DES LETTRES ET SCIENCES HUMAINES
DES UNIVERSITES DE PARIS",Entretenir les liens d'amitiés et de solidarité entre les AE de la faculté des lettres de Paris et de relier plus étroitement entre elles les générations successives des élèves de la faculté.,02/08/1912,23/02/1987,"17, rue de la Sorbonne",75007,PARIS CEDEX 05
W313023630,"ASSOCIATION DES A.E.
DU LYCEE DE TOULOUSE","Conserver, resserrer ou établir des relations amicales entre les anciens élèves du lycée.",17/11/1929,,"1, rue Gambetta",31068,TOULOUSE CEDEX
,"ASSOCIATION DES A.E.
DU LYCEE HOCHE","Établir entre les élèves un centre commun de relations amicales, de contribuer à la prospérité du lycée.",01/02/1868,,,78000,VERSAILLES
,"ASSOCIATION DES A.E.
DU LYCEE LOUIS LE GRAND","Fondé sur l'amitié mutuelle de ses membres et sur les souvenirs de jeunesse, et d'établir entre eux un centre commun de relations amicales et porter secours à leurs camarades placés dans des circonstances honorables qui pourraient en avoir besoin.",10/12/1864,15/10/1980,"123, rue Saint-Jacques",75706,PARIS
,ASSOCIATION DES A.E.DES ACADEMIES ET DU CONSERVATOIRE DE VALENCIENNES,Encourager les efforts des jeunes élèves des académies et du conservatoire de musique originaires de Valenciennes et de son arrondissement qui se destinent à une carrière artistique.,12/07/1923,,,59300,AULNOY LES VALENCIENNES
,"ASSOCIATION DES A.E.DU COLLEGE
ET DU LYCEE D'ARRAS",Établir un centre commun de relations amicales et de fraternelle assistance.,26/08/1879,13/03/1959,"5, place Victor Hugo",62000,ARRAS
,ASSOCIATION DES AGRONOMES ET VETERINAIRES SANS FRONTIERES (AVSF),"Apporter une aide aux populations défavorisées, contribuant par ses compétences à la lutte contre la faim dans le monde en participant aux actions de recherche, de formation, de vulgarisation dans les domaines de l'élevage et de la santé animale.",17/05/1996,12/06/2012,"14, avenue Berthelot",69361,LYON CEDEX 7
,"ASSOCIATION DES AMIS DE ""SOURCES CHRETIENNES""",Grouper des personnes désireuses de promouvoir la connaissance de l'histoire du christianisme ancien et une prise de conscience plus claire de l'unité et des richesses spirituelles de la civilisation méditerranéenne et occidentale.,09/01/1960,17/05/2011,22 rue Sala,69002,LYON
W343019075,ASSOCIATION DES AMIS DE L' UNIVERSITE DE MONTPELLIER,Aidez au développement de l'université de Montpellier.,22/06/1921,24/07/1979,"115, avenue de Lodève",34000,MONTPELLIER
,ASSOCIATION DES AMIS DE LA BIBLIOTHEQUE NATIONALE DE FRANCE ET GRANDES BIBLIOTHEQUES FRANCAISE,Enrichir et compléter par des dons et par des achats les collections de la Bibliothèque nationale.,22/02/1927,10/05/1996,Quai François Mauriac,75724,PARIS CEDEX 13
,ASSOCIATION DES AMIS DE LA FORET DE FONTAINEBLEAU,"Contribuer à assurer la conservation et la protection des sites, des monuments pittoresques et des peuplements végétaux et animaux de la forêt domaniale de Fontainebleau ainsi que de l'ensemble du massif forestier - Poursuivre des actions éducatives",03/02/2010,,"26, rue de la Cloche
BP 14",77200,FONTAINEBLEAU CEDEX
,ASSOCIATION DES AMIS DE L'ART DE MARCEL DUPRE,"Faire mieux connaître l'œuvre, la fixer pour les temps futurs au moyen d'enregistrements sur disques; assurer sa diffusion en dehors de tout circuit commercial et sans but lucratif.",21/07/1975,01/07/2003,"8, rue Emile Gilbert",75006,PARIS
,ASSOCIATION DES AMIS DE L'UNIVERSITE DE LYON,"Faciliter le développement des universités de Lyon et les contacts entre universitaires et tout organisme, association collectivité ou particulier.",26/12/1922,31/03/2000,"1, rue de l'Université
BP 0638",69239,LYON CEDEX 02
,ASSOCIATION DES AMIS DE SAINT-CYR ET COETQUIDAN,Contribuer au maintien de la valeur et au prestige de la valeur et au prestige de l'école spéciale militaire (Saint-Cyr) et de l'école militaire interarmées situées à Coëtquidan.,07/05/1931,14/11/1975,"7, rue Guersant",75013,PARIS
,"ASSOCIATION DES AMIS DU MUSEE DE LA MER POUR L'ATLANTIQUE DU PORT LOUIS
AMERAMI",Favoriser le développement du musée de la mer pour l'Atlantique tant dans la citadelle du Port Louis (Morbihan) que dans tout lieu où le musée de la mer pourrait être associé pour la sauvegarde et l'enrichissement du patrimoine maritime national.,25/06/1981,,Palais de Chaillot,75016,PARIS
,ASSOCIATION DES AMIS DU MUSEE DE L'AIR (AAMA),"Aider par tous moyens possibles au développement du Musée de l’Air et de l’Espace français et à son rayonnement tant en France qu’à l’Etranger ; Favoriser l’enrichissement de ses collections ainsi que l’amélioration de son fonctionnement ; Faire ou provoquer des libéralités ou des prêts gratuits lui permettant d’accroître son patrimoine ; Acquérir les pièces présentant une valeur artistique, historique ou technique jugées dignes d’y prendre place et enfin procurer gratuitement les concours nécessaires à certaines acquisitions ou réalisations.",16/08/1976,27/12/1983,B.P. 173,93352,LE BOURGET CEDEX
,ASSOCIATION DES AMIS DU MUSEE DE L'ORDRE DE LA LIBERATION,"Réunir, archiver, conserver, entretenir et  présenter dans le cadre du Musée de la France Libre et de la Résistance de l'Ordre National de la libération les documents, souvenirs...",22/10/1971,,"51 bis, boulevard de La Tour-Maubourg",75007,PARIS CEDEX 07
,ASSOCIATION DES AMIS DU MUSEE DES BLINDES ET DE LA CAVALERIE (AAMBC),"Contribuer à la conservation, au développement, à la mise en valeur et au rayonnement du patrimoine constitué, au sein des deux musées des Blindés et de la Cavalerie, sis à Saumur, et aussi de collections présentant un intérêt artistique ou historique et jugées dignes d’être présentées au public.",07/08/1984,"28/11/2000
28/07/2020","1043, route de Fontevraud",49400,SAUMUR
,ASSOCIATION DES AMIS DU MUSEE INTERNATIONAL DES HUSSARDS,Enrichir et mieux faire connaître et aimer les collections du Musée. Grouper autour du musée les amateurs d'histoire militaire et d'une manière générale rendre plus intense le goût pour l'histoire militaire et notamment celle des Hussards.,23/03/1973,,Musée Massey,65000,TARBES
W062009343,"ASSOCIATION DES AMIS DU MUSEE NATIONAL ""MESSAGE BIBLIQUE MARC CHAGALL""",Aider à l'animation et au rayonnement du Message biblique en France et à l'étranger en collaborant à l'organisation des manifestations.,30/07/1974,,avenue du docteur Menard,06000,NICE
,ASSOCIATION DES ANCIENNES ELEVES DES MAISONS D'EDUCATION DE LA LEGION D'HONNEUR,"Établir un centre commun de relations amicales, assister celles qui auraient été frappées de difficultés et d'aider les jeunes dans leur établissement.",02/07/1895,22/09/1993,"64, rue de Rome",75008,PARIS
,ASSOCIATION DES ANCIENNES ELEVES DU LYCEE DE JEUNES FILLE D'AMIENS,Établir entre les sociétaires  un centre commun de relations amicales.,11/07/1929,,"43, rue des otages",80027,AMIENS
,ASSOCIATION DES ANCIENNES ET A.E. DU LYCEE EDOUARD HERRIOT,Établir pour les associés un centre de chaude solidarité et maintenir entre eux et avec les anciens professeurs des relations amicales.,07/01/1931,28/11/1979,"6, place Edgar Quinet",69006,LYON
,"ASSOCIATION DES ANCIENS DES ECOLES NORMALES SUPERIEURES DE LYON, FONTENAY-AUX-ROSES ET SAINT-CLOUD (AENS)","Créer un lien permanent de solidarité et d'entraide entre les élèves, les anciennes et anciens élèves des établissements  concernés.",28/02/1991,03/03/2014,"15, parvis René Descartes",69000,LYON
,ASSOCIATION DES ANCIENS DU LYCEE ALAIN D'ALENCON,"De resserrer le lien de relations amicales entre tous les membres ; de venir en aide à ceux qui auront besoin de secours, à leurs veuves ou à leurs enfants.",04/02/1887,22/09/2011,54 rue de Bretagne,61000,ALENÇON
,ASSOCIATION DES ANCIENS ELEVES DE ECOLE NATIONALE SUPERIEURE DES MINES DE NANCY,Maintenir et de resserrer les liens d'amitié et de camaraderie qui se sont créés à l'école.,10/03/1987,,"60, boulevard Saint-Michel",75005,PARIS CEDEX 06
,ASSOCIATION DES ANCIENS ELEVES DE L' ECOLE NATIONALE D'ADMINISTRATION (AAENA),Établir des relations amicales et un lien de solidarité et d'aide mutuelle entre les anciens élèves de l'E.N.A. Elle apporte son appui aux élèves de l'école.,13/03/1961,13/11/2018,"226, boulevard Saint Germain",75004,PARIS
,"ASSOCIATION DES ANCIENS ELEVES DES LYCEES JACQUES AMYOT ET
PAUL BERT D’AUXERRE","Établir entre tous les adhérents des relations amicales, une entraide réciproque et de coopérer, dans la mesure des ressources disponibles, au maintien de la réputation de ces établissements.",07/03/1878,22/09/2003,"3, rue de l’Etang Saint Vigile",89100,AUXERRE CEDEX
W354003117,ASSOCIATION DES ANCIENS ELEVES DULYCEE DE RENNES,"Entretenir les relations d'amitié qui se sont formées au lycée et venir en aide aux anciens élèves malheureux, à leurs veuves ou à leurs enfants.",31/05/1877,22/11/1923,Lycée avenue Janvier,35000,RENNES
,ASSOCIATION DES ANCIENS ET AMIS DE LA CITE UNIVERSITAIRE DE PARIS ALLIANCE INTERNATIONALE,Unir ceux qui ayant eu le privilège de résider à la Cité Internationale de l'université de Paris ont la volonté de poursuivre l'œuvre des fondateurs  de cette institution.,13/04/1968,15/02/2012,"21, boulevard Jourdan",75014,PARIS
